table,policy,command,roles,permissive_or_restrictive,USING,explicit_WITH_CHECK,effective_WITH_CHECK,effective_source,other_applicable_policies,ownership_columns,constrains_ownership,client_reachable,static_bypass_proven,runtime_test_required
agent_conversations,Users can update their own conversations,UPDATE,authenticated,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,none,user_id,yes,yes,no,yes
agent_definition_runs,Users can update their own runs,UPDATE,public,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,none,user_id,yes,yes,no,yes
agent_definitions,Users can update their own agents,UPDATE,public,PERMISSIVE,((auth.uid() = owner_id) AND (is_system_default = false)),,((auth.uid() = owner_id) AND (is_system_default = false)),inherited_from_USING,none,owner_id,yes,yes,no,yes
agent_drafts,Users can update their own drafts,UPDATE,public,PERMISSIVE,(auth.uid() = owner_id),,(auth.uid() = owner_id),inherited_from_USING,none,owner_id,yes,yes,no,yes
agent_integrations,Users can update integrations for their agents,UPDATE,public,PERMISSIVE,(system_id IN ( SELECT agents.id    FROM agents   WHERE (agents.owner_id = auth.uid()))),,(system_id IN ( SELECT agents.id    FROM agents   WHERE (agents.owner_id = auth.uid()))),inherited_from_USING,none,none,yes,yes,no,yes
agent_memory,Users can manage their own agent memory,ALL,public,PERMISSIVE,(auth.uid() = user_id),(auth.uid() = user_id),(auth.uid() = user_id),explicit,none,user_id,yes,yes,no,yes
agent_runs,Users can update their own agent runs,UPDATE,public,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,none,user_id,yes,yes,no,yes
agent_runtime_status,runtime_status_update,UPDATE,public,PERMISSIVE,(agent_id IN ( SELECT agents.id    FROM agents   WHERE (agents.owner_id = auth.uid()))),,(agent_id IN ( SELECT agents.id    FROM agents   WHERE (agents.owner_id = auth.uid()))),inherited_from_USING,none,none,yes,yes,no,yes
agent_workflows,agent_workflows_all,ALL,public,PERMISSIVE,(agent_id IN ( SELECT agents.id    FROM agents   WHERE (agents.owner_id = auth.uid()))),(agent_id IN ( SELECT agents.id    FROM agents   WHERE (agents.owner_id = auth.uid()))),(agent_id IN ( SELECT agents.id    FROM agents   WHERE (agents.owner_id = auth.uid()))),explicit,none,none,yes,yes,no,yes
agents,Users can update their own agents,UPDATE,authenticated,PERMISSIVE,(auth.uid() = owner_id),,(auth.uid() = owner_id),inherited_from_USING,agents_update_own:UPDATE,org_id;owner_id,yes,yes,no,yes
agents,agents_update_own,UPDATE,authenticated,PERMISSIVE,(auth.uid() = owner_id),(auth.uid() = owner_id),(auth.uid() = owner_id),explicit,Users can update their own agents:UPDATE,org_id;owner_id,yes,yes,no,yes
ai_recommendations_cache,Service role can manage cache,ALL,service_role,PERMISSIVE,true,true,true,explicit,none,none,no,no,no,no
capture_cache,Service role full access,ALL,service_role,PERMISSIVE,true,true,true,explicit,none,none,no,no,no,no
captured_pages,Users can update their own captured pages,UPDATE,public,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,none,user_id,yes,yes,no,yes
cloud_deployments,cloud_deployments_all,ALL,public,PERMISSIVE,(agent_id IN ( SELECT agents.id    FROM agents   WHERE (agents.owner_id = auth.uid()))),(agent_id IN ( SELECT agents.id    FROM agents   WHERE (agents.owner_id = auth.uid()))),(agent_id IN ( SELECT agents.id    FROM agents   WHERE (agents.owner_id = auth.uid()))),explicit,none,none,yes,yes,no,yes
content_embeddings,Service role can manage embeddings,ALL,public,PERMISSIVE,(auth.role() = 'service_role'::text),,(auth.role() = 'service_role'::text),inherited_from_USING,none,none,no,yes,no,yes
copilot_memory,Service role can manage all memory,ALL,service_role,PERMISSIVE,true,true,true,explicit,Users can update their own memory:UPDATE,user_id,no,no,no,no
copilot_memory,Users can update their own memory,UPDATE,public,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,Service role can manage all memory:ALL,user_id,yes,yes,no,yes
copilot_sessions,Users can update own sessions,UPDATE,public,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,none,user_id,yes,yes,no,yes
copilot_sessions_cache,Users can update their own cache entries,UPDATE,public,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,none,user_id,yes,yes,no,yes
crawl_jobs,Service role can manage crawl jobs,ALL,public,PERMISSIVE,(auth.role() = 'service_role'::text),,(auth.role() = 'service_role'::text),inherited_from_USING,none,none,no,yes,no,yes
data_centre_locations,Users can update their own locations,UPDATE,public,PERMISSIVE,(auth.uid() = created_by),,(auth.uid() = created_by),inherited_from_USING,none,created_by,yes,yes,no,yes
data_centre_twins,Users can update their own twins,UPDATE,public,PERMISSIVE,(auth.uid() = created_by_user),,(auth.uid() = created_by_user),inherited_from_USING,none,created_by_user,yes,yes,no,yes
dc_scan_sessions,Users can update their own scan sessions,UPDATE,public,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,none,user_id,yes,yes,no,yes
deployment_tracking,Users can update their own deployment tracking,UPDATE,public,PERMISSIVE,(auth.uid() = deployed_by),,(auth.uid() = deployed_by),inherited_from_USING,none,deployed_by,yes,yes,no,yes
deployments,Users can update their own deployments,UPDATE,public,PERMISSIVE,(auth.uid() = deployed_by),,(auth.uid() = deployed_by),inherited_from_USING,none,deployed_by,yes,yes,no,yes
digital_twin_runs,Users can update their own digital twin runs,UPDATE,public,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,none,user_id,yes,yes,no,yes
digital_twins,Users can update their own digital twins,UPDATE,public,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,none,user_id,yes,yes,no,yes
document_analysis_jobs,Users can update own analysis jobs,UPDATE,public,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,none,user_id,yes,yes,no,yes
funding_programs,Service role can manage funding programs,ALL,public,PERMISSIVE,(auth.role() = 'service_role'::text),,(auth.role() = 'service_role'::text),inherited_from_USING,none,none,no,yes,no,yes
indexed_content,Service role can manage indexed content,ALL,public,PERMISSIVE,(auth.role() = 'service_role'::text),,(auth.role() = 'service_role'::text),inherited_from_USING,Users can update their own indexed content:UPDATE,user_id,no,yes,no,yes
indexed_content,Users can update their own indexed content,UPDATE,authenticated,PERMISSIVE,(auth.uid() = user_id),(auth.uid() = user_id),(auth.uid() = user_id),explicit,Service role can manage indexed content:ALL,user_id,yes,yes,no,yes
industry_agents,Admins can update industry agents,UPDATE,authenticated,PERMISSIVE,"has_role(auth.uid(), 'admin'::app_role)","has_role(auth.uid(), 'admin'::app_role)","has_role(auth.uid(), 'admin'::app_role)",explicit,none,none,yes,yes,no,yes
integrations,Users can manage their own integrations,ALL,public,PERMISSIVE,(auth.uid() = user_id),,(auth.uid() = user_id),inherited_from_USING,Executives can update integrations:UPDATE,created_by;org_id;user_id,yes,yes,no,yes
