component,official_product_name,claimed_role,repository_evidence,configuration_evidence,dependency_evidence,runtime_evidence,hardware_dependency,data_source,mock_or_live,version,license_or_entitlement,deployment_target,observability,tests,security_boundary,blocking_dependency,implementation_status,readiness_verdict,confidence
NVIDIA DSX,see 60-nvidia-terminology-and-claims-register.md,Telemetry exchange + twin alignment target,src/dsx/** (43 files); supabase/functions/dsx-ingest/index.ts; supabase/functions/_shared/dsx-contract.ts,supabase/config.toml [functions.dsx-ingest] verify_jwt=false; DSX_GATEWAY_JWKS_JSON/ISSUER/AUDIENCE,none (no NVIDIA SDK in package.json),none - LIVE_MODE_ENABLED=false in src/dsx/modes.ts,none,deterministic fixture src/dsx/fixtures/*,mock,n/a,none held,Supabase Edge Function,console only,173 tests pass (src/dsx + providers + kit),custom RS256 gateway JWT verification in-handler,No NVIDIA DSX endpoint or entitlement,M2M abstraction,architecture_only,high
NVIDIA Omniverse,NVIDIA Omniverse / Omniverse Kit,3D twin rendering + WebRTC stream,src/integrations/omniverseKit/*; src/pages/OmniverseScene.tsx; src/twins/dataCenter/omniverseAdapter.ts; src/simulation/providers/omniverseProvider.ts,readKitConfig() returns enabled:false unconditionally (config.ts:44-53); VITE_OMNIVERSE_KIT_URL is forbidden by scripts/verify-production-perimeter.mjs,no Omniverse package dependency,none - client throws KitDisabledError on every call,RTX GPU + Kit host (absent),n/a,mock,Kit 109 referenced in comments only,none held,none,none,src/integrations/omniverseKit/__tests__ (14 tests),browser access to Kit forbidden; server-mediated transport required,No Kit host; no approved transport,UI-only representation + disabled client,architecture_only,high
OpenUSD,OpenUSD (Pixar/AOUSD),Asset addressing for twin prims,src/dsx/contracts/assetMapping.ts (primPath regex); src/dsx/viewer/viewerBoundary.ts,none,no usd-core/pxr dependency,none,none,fixture prim-path strings,mock,n/a,n/a,none,none,exchangeViewerSimready.test.ts,fail-closed unmapped resolution,Zero .usd/.usda/.usdc files in repository,API-compatible substitute (path-string convention only),not_implemented,high
NVIDIA Blueprint components,Omniverse Blueprint (see doc 60),Reference workflow for DC digital twin,docs/dsx/nvidia-upstream-manifest.json (reference-only entry),policy=reference-only; vendored=false for all 5 entries,none,scripts/verify-dsx-upstream-manifest.mjs PASS (5 entries 0 vendored),none,n/a,documentation-only,unversioned,n/a,none,none,manifest verifier,no code vendored,No executable blueprint or container manifests,documentation-only claim,architecture_only,high
SimReady assets,NVIDIA SimReady,Simulation-eligible asset metadata,src/dsx/simready/onboarding.ts (143 lines),REQUIRED_FIELDS per asset class; GEOMETRY_REQUIRED set,none,none,none,8 fixture assets with boolean simready flag,mock,n/a,n/a,none,none,exchangeViewerSimready.test.ts,blocker gaps not defaulted to zero,No geometry files; no SimReady validator,M2M abstraction named after SimReady,not_implemented,high
NVIDIA Isaac Sim,NVIDIA Isaac Sim,none,2 doc mentions only,none,none,none,none,none,documentation-only,n/a,n/a,none,none,none,n/a,n/a,not_applicable (no robotics scope),not_implemented,high
NVIDIA NIM,NVIDIA NIM microservices,Planned inference tier,docs/AURA-DC-Architecture.md only,none,none,none,GPU host,none,documentation-only,n/a,none held,none,none,none,n/a,No GPU inference tier,documentation-only claim,not_implemented,high
NVIDIA NeMo / NeMo Retriever,NVIDIA NeMo,Planned retrieval tier,docs only; rag-* edge functions return 501,none,none,rag-* return HTTP 501 (Phase 0 containment),GPU host,none,documentation-only,n/a,none held,none,none,none,n/a,No retrieval service,documentation-only claim,not_implemented,high
PhysicsNeMo (ex Modulus),NVIDIA PhysicsNeMo,Candidate surrogate thermal model,docs/dsx/nvidia-upstream-manifest.json role=future-dependency,none,none,none,GPU host,none,documentation-only,n/a,none held,none,none,manifest verifier,n/a,No model training or inference,documentation-only claim,not_implemented,high
NVIDIA Riva,NVIDIA Riva,none,0 word-boundary matches,none,none,none,none,none,none,n/a,n/a,none,none,none,n/a,n/a,not_applicable (no speech scope),not_implemented,high
