function,classification,frontend_callers,function_to_function,docs_or_scripts_references,declared_in_config_toml,webhook_or_callback_signals,schedule_signals,external_reachability_excluded,proven_orphan,evidence_note
agent-create,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
agent-draft-from-reco,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
agent-execute,active_internal,src/components/builder/AgentChat.tsx,none,docs/remediation/capability-traceability.md;docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv,no,no,no,no,no,in-repo caller or protocol signal present
agent-export,active_internal,src/components/builder/AgentChat.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/checkpoint-b7/route-classification.tsv,no,no,no,no,no,in-repo caller or protocol signal present
agent-plan-chat,active_internal,src/components/AgentChatModal.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/checkpoint-b7/route-classification.tsv,no,no,no,no,no,in-repo caller or protocol signal present
agent-run,active_internal,src/components/AgentPlayground.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/checkpoint-b7/route-classification.tsv,no,no,no,no,no,in-repo caller or protocol signal present
agent-stream,active_internal,src/components/CoPilotDrawer.tsx;src/pages/AgentChat.tsx,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/capability-traceability.md;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,in-repo caller or protocol signal present
agent-suggestions,active_internal,src/components/SmartAgentInput.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/checkpoint-b7/route-classification.tsv,no,no,no,no,no,in-repo caller or protocol signal present
agents-deploy,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
agents-list,active_internal,src/components/AgentsList.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/checkpoint-b7/route-classification.tsv,no,no,no,no,no,in-repo caller or protocol signal present
agents-rollback,active_internal,src/components/SystemDetailsDrawer.tsx,none,docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json;docs/remediation/evidence/pr-0.1/checkpoint-b7/function-callsite-reconciliation.tsv;docs/remediation/evidence/pr-0.1/checkpoint-b7/route-classification.tsv,no,no,no,no,no,in-repo caller or protocol signal present
ai-config,no_in_repo_caller,none,none,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/pr-0.1/edge-function-inventory.json,no,no,no,no,no,no in-repo caller found; external/operational reachability NOT excluded
ai-systems,active_internal,src/components/SystemDetailsDrawer.tsx,supabase/functions/ai-systems-unified/index.ts,docs/evidence/full-stack-audit/12b-orphan-edge-functions.txt;docs/remediation/evidence/phase-1a3/index.md;docs/remediation/evidence/phase-1b/eslint-summary.txt,no,no,no,no,no,in-repo caller or protocol signal present
ai-systems-unified,active_internal,src/pages/Dashboard.tsx,none,docs/remediation/evidence/phase-1a3/index.md;docs/remediation/evidence/phase-1b/eslint-summary.txt;docs/remediation/evidence/pr-0.1/checkpoint-b6/invoke-cross-reference.json,no,no,no,no,no,in-repo caller or protocol signal present
