function,lines,gateway_verify_jwt,uses_shared_handler,declared_auth_level,function_level_jwt_validation,permission_enforcement,tenant_validation,webhook_signature_verification,service_role_use,wildcard_cors,possible_credential_logging,repo_reachability,effective_access_class,note
agent-create,68,true(default),True,user,False,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
agent-draft-from-reco,196,true(default),True,user,False,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
agent-execute,209,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
agent-export,165,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
agent-plan-chat,136,true(default),True,public,False,False,False,False,False,True,False,active_internal,intentionally_public,"authLevel=""public""; anon client, optional user"
agent-run,144,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
agent-stream,228,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
agent-suggestions,308,true(default),True,public,False,False,False,False,True,True,False,active_internal,unprotected_reachable,"authLevel=""public"" but function also constructs a service-role client"
agents-deploy,106,true(default),True,user,False,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
agents-list,91,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
agents-rollback,58,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
ai-config,65,true(default),False,none,False,False,False,False,False,True,False,no_in_repo_caller,unknown,"no in-code authentication; effective protection depends on the platform gateway verify_jwt default, which cannot be established statically and requires a runtime probe"
ai-systems,104,true(default),True,admin,False,False,False,False,False,True,False,active_internal,unprotected_reachable,"shared handler authLevel=""admin"" returns a service-role client WITHOUT establishing caller identity (_shared/auth.ts:22-29); only the platform gateway JWT stands between any authenticated caller and full-table reads"
ai-systems-unified,275,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
analytics-export,116,true(default),True,admin,False,False,False,False,False,True,False,no_in_repo_caller,unprotected_reachable,"shared handler authLevel=""admin"" returns a service-role client WITHOUT establishing caller identity (_shared/auth.ts:22-29); only the platform gateway JWT stands between any authenticated caller and full-table reads"
analytics-overview,166,true(default),True,admin,False,False,False,False,False,True,False,no_in_repo_caller,unprotected_reachable,"shared handler authLevel=""admin"" returns a service-role client WITHOUT establishing caller identity (_shared/auth.ts:22-29); only the platform gateway JWT stands between any authenticated caller and full-table reads"
analytics-systems,126,true(default),True,admin,False,False,False,False,False,True,False,active_internal,unprotected_reachable,"shared handler authLevel=""admin"" returns a service-role client WITHOUT establishing caller identity (_shared/auth.ts:22-29); only the platform gateway JWT stands between any authenticated caller and full-table reads"
analyze-document-with-gemini,231,true(default),True,public,False,False,False,False,False,True,False,no_in_repo_caller,intentionally_public,"authLevel=""public""; anon client, optional user"
analyze-file,211,true(default),True,public,False,False,False,False,False,True,False,no_in_repo_caller,intentionally_public,"authLevel=""public""; anon client, optional user"
aoc-environment-promotion,163,true(default),False,none,True,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
aoc-runtime-action,151,true(default),False,none,True,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
aoc-runtime-control,180,true(default),False,none,True,False,False,False,True,True,False,no_in_repo_caller,unprotected_reachable,caller identity established but the privileged path uses the service-role key with no role or tenant predicate; RLS is bypassed
aoc-simulate-test,137,true(default),False,none,True,False,False,False,True,True,False,active_internal,unprotected_reachable,caller identity established but the privileged path uses the service-role key with no role or tenant predicate; RLS is bypassed
arcade-servers,1244,true(default),False,none,True,False,False,False,False,True,True,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
builder-generate-summary,216,true(default),True,public,False,False,False,False,False,True,False,active_internal,intentionally_public,"authLevel=""public""; anon client, optional user"
builder-infer-goal,167,true(default),True,user,False,False,False,False,False,True,False,no_in_repo_caller,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
builder-test,60,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
builders-create,98,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
builders-deploy,171,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
builders-get,130,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
builders-update,106,true(default),True,user,False,False,False,False,False,True,False,active_internal,authenticated_only,caller identity established; no role or tenant predicate in-code (RLS is the residual control)
catalog-mcp,185,true(default),False,none,False,False,False,False,False,True,False,active_internal,unknown,"no in-code authentication; effective protection depends on the platform gateway verify_jwt default, which cannot be established statically and requires a runtime probe"
catalog-templates-industry,102,true(default),True,public,False,False,False,False,False,True,False,no_in_repo_caller,intentionally_public,"authLevel=""public""; anon client, optional user"
