route	user_action	dependency	access_type	read_or_write	authz_control	rls_or_ownership_control	failure_behaviour	pilot_disposition	evidence
/	initial render	supabase.functions.invoke('ai-systems-unified')	edge-function	read	requires JWT (verify_jwt=true); is_approved NOT enforced by function	n/a	Dashboard falls back to fabricated rows and hardcoded values on non-2xx (see src/pages/Dashboard.tsx:172-235)	BLOCKED (blocked function + synthetic fallback)	src/pages/Dashboard.tsx:172
/	user clicks Delete on system card	supabase.functions.invoke('systems-delete', {...})	edge-function	write	requires JWT	unverified server-side	toast error on non-2xx	BLOCKED (write; blocked function; not read-only)	src/pages/Dashboard.tsx:236
/	Layout mount (children of /)	supabase.functions.invoke('health')	edge-function	read	requires JWT	n/a	HealthBadges renders red badge on non-2xx	BLOCKED (blocked function via Layout)	src/components/HealthBadges.tsx:18
/	Layout mount, background	supabase.functions.invoke('zapier-auto-refresh')	edge-function	write (token refresh)	requires JWT	n/a	silent	BLOCKED (blocked function via Layout, background hidden request)	src/hooks/useTokenRefresh.ts:21
/	Layout mount, background (on expiry)	supabase.functions.invoke('zapier-refresh-token', {...})	edge-function	write (token refresh)	requires JWT	n/a	silent	BLOCKED (blocked function via Layout, background hidden request)	src/hooks/useTokenRefresh.ts:78
/	user types in header search	supabase.functions.invoke('search-suggestions', {...})	edge-function	read	requires JWT	n/a	silent	BLOCKED (blocked function via Layout)	src/hooks/useSearchSuggestions.ts:36
/	CoPilot bubble open, user asks	supabase.functions.invoke('copilot-search')	edge-function	read	requires JWT	n/a	empty result	BLOCKED (excluded capability: browser-side AI/Copilot)	src/components/CoPilotDrawer.tsx:107,388
/	CoPilot voice open, user speaks	supabase.functions.invoke('copilot-chat-simple')	edge-function	read/stream	requires JWT	n/a	toast error	BLOCKED (excluded capability: browser-side AI/Copilot)	src/components/CoPilotVoice.tsx:53
/analytics	initial render	supabase.functions.invoke('ops-overview')	edge-function	read	requires JWT; is_approved NOT enforced by function	n/a	IntelligenceDashboard renders placeholders (typed-accessible-unavailable) on non-2xx	BLOCKED (blocked function on initial render + Layout excluded capabilities)	src/pages/IntelligenceDashboard.tsx:192
/account/profile	initial render	supabase.from('profiles').select(...)	direct DB read	read	RLS: profiles owner_id = auth.uid()	remote RLS not verified locally in this checkpoint	toast error on non-2xx	NOT A PILOT SURFACE (Layout excluded capabilities still initialize)	src/pages/account/Profile.tsx
/help	initial render	none	n/a	n/a	n/a	n/a	n/a	NOT A PILOT SURFACE (Help content is static; still inside Layout)	src/pages/Help.tsx
/sign-out	user hits route	supabase.auth.signOut()	Auth SDK (GoTrue)	write (session termination)	Supabase-managed	n/a	navigates to /	OPERABLE (used by both public and approved-user pilots)	src/pages/auth/SignOut.tsx
--- EXTERNAL BLOCKERS ---	--- EXTERNAL BLOCKERS ---	--- EXTERNAL BLOCKERS ---	--- EXTERNAL BLOCKERS ---	--- EXTERNAL BLOCKERS ---	--- EXTERNAL BLOCKERS ---	--- EXTERNAL BLOCKERS ---	--- EXTERNAL BLOCKERS ---	--- EXTERNAL BLOCKERS ---	--- EXTERNAL BLOCKERS ---
remote-rls	any read against public.profiles / public.onboarding_submissions / public.user_roles	Supabase Postgres RLS at rest	server-enforced	varies	EXTERNAL BLOCKER: effective remote RLS not verified in local pilot; requires disposable Supabase-compatible environment or approved staging replay	EXTERNAL BLOCKER	fail-closed if unverified	CANNOT CLAIM PASSED	docs/remediation/evidence/pr-0.1/external-blockers.md
remote-fn-undeploy	pilot claims 63 functions unreachable in production	Supabase Edge Functions runtime	server-enforced	n/a	EXTERNAL BLOCKER: remote undeployment of the 155 inventoried functions is not verified from the sandbox	EXTERNAL BLOCKER	requests may still reach Supabase runtime if not undeployed	CANNOT CLAIM PASSED	docs/remediation/evidence/pr-0.1/external-blockers.md
credential-rotation	any use of prior-leaked keys (VITE_LOVABLE_API_KEY, Omniverse host)	external providers	external	n/a	EXTERNAL BLOCKER: credential rotation must happen out-of-band	EXTERNAL BLOCKER	prior keys may remain valid	CANNOT CLAIM PASSED	docs/remediation/evidence/pr-0.1/external-blockers.md
migration-replay	pending schema safety	full migration chain	external	n/a	EXTERNAL BLOCKER: full replay requires Supabase-compatible extensions unavailable in sandbox	EXTERNAL BLOCKER	drift risk unquantified	CANNOT CLAIM PASSED	docs/remediation/evidence/pr-0.1/external-blockers.md
