Order	Filename	Timestamp	SHA256	GitOrigin	Purpose	ExternalPrereqs	Risks
01	20251209160634_remix_migration_from_pg_dump.sql	20251209160634	78feddaaf5f1c23f99868730f2b530a80aa8b928ba6972f24ab22ddf865ed69c	48fe274c4085ee9ed5a659cb48c71dd4a017734b|gpt-engineer-app[bot]|2025-12-09	Baseline pg_dump remix. Establishes entire public schema, extensions, enums, tables, functions, indexes, initial policies and grants.	platform: auth.users, storage.*, vault.*, cron.*; extensions above	very large single file, non-transactional CREATE EXTENSION statements, embedded platform grants; replay requires Supabase-compatible superuser to install pg_cron/supabase_vault/pg_graphql
02	20251210005210_d6487de0-0ce4-48bc-9f18-9ab49c8f5358.sql	20251210005210	8953dba3ae3bf616a1da1bf1ebeebe892ad27468ef74425c4479af1bc5e0f24e	dedb8fb776cf6fe9e2995f1b6630fe181e787466|gpt-engineer-app[bot]|2025-12-10	Fix infinite recursion on user_roles SELECT policy.	user_roles from #1	idempotent; safe
03	20251210010204_696d7788-e514-4dd6-b244-44913022649d.sql	20251210010204	9af5ac4fe7ebd564e5669636c5d9dae5d4a608b0b4523ac52e25bf21d0a1f58f	ddd04626ecf382e8a5b8cc68927fa15c2b04de4f|gpt-engineer-app[bot]|2025-12-10	Storage/policy adjustment (see file).	tables from #1	low
04	20251210032625_0243a383-7873-4785-9fba-35924b2719a1.sql	20251210032625	f3d30f71e4b0e526fa42c2e9255ec09ce9a40b17307e416304c4527e2bd4c00c	59b8b089845dec6af8eb33f723bd13d9dc8eca98|gpt-engineer-app[bot]|2025-12-10	Agents domain policies expansion.	agents, agent_runs, twin_agent_bindings from #1	non-idempotent CREATE POLICY without IF NOT EXISTS on some (verify)
05	20251210033908_baac1120-6f3f-4a70-8a97-b6243ee72d47.sql	20251210033908	64f76302178ae35f0352860c394d263e9b8ea0a2796cfe1c4038500e6b8d2f52	8187694d129b6e114ce83c107c751aa89ee5aaeb|gpt-engineer-app[bot]|2025-12-10	DC scan sessions & blueprint templates policies.	dc_scan_sessions, dc_blueprint_templates from #1	non-idempotent policy names
06	20251210035930_9d8461f8-bf20-4982-b2b3-e7b541f01390.sql	20251210035930	8f555810ae6e40fd4938fef9f5526c607ed5c3ca710be75f3c3be75eb17eaf55	a0b9602ce1d1998b41b0426e9fbfa7cdbb356710|gpt-engineer-app[bot]|2025-12-10	Twin ecosystem policies (telemetry, kpi, simulations, sovereignty, carbon, financial).	twin_* tables and data_centre_twins from #1	non-idempotent policy names
07	20251210154256_1d3d5af4-7144-4e93-867c-590124704414.sql	20251210154256	d5445c4b81462f800a1df9397503a8b4b9edc37045b356d9adcf2525011097c7	a92686a316526c7286bc5f4374f060b0f02e083c|gpt-engineer-app[bot]|2025-12-10	data_centre_locations owner policies.	data_centre_locations from #1	non-idempotent
08	20251210161218_24842690-23ac-4584-b6a3-c4d5e4de2284.sql	20251210161218	f94a9dc4c12b1f6bec1a1add4a39dbc32332c144f1317bf8cd14dd97057f2551	9332487715edfb9aaa1acbd247c1266a83930a9e|gpt-engineer-app[bot]|2025-12-10	Small policy/grant fix (see file).	prior tables	low
09	20251211160930_a2b70e13-b985-4f8c-b6b1-3176e8ad8fb6.sql	20251211160930	2beba4e796e59b4f19b39a318b008bd3b4ee0af8d0cb260854c1685e0751bb66	fc3b92de5aafaf99335e997852f0a54ce3f28da1|gpt-engineer-app[bot]|2025-12-11	Simulation runs policies.	simulation runs table from #1	non-idempotent
10	20251211234933_b6d2e072-6b68-461f-b36d-dfed0429f21d.sql	20251211234933	0905a2a11c77555a1b26a6e67263e762b352cc86334fb7251b44e099fdbfa6ca	86d7472d7f3eabae4a441eab9fa88a5c59750676|gpt-engineer-app[bot]|2025-12-11	Second recursion fix on user_roles; INTRODUCES self-manage escalation policies (user_roles_insert_own/update_own/delete_own).	user_roles from #1	P0 privilege-escalation surface introduced (self INSERT of admin roles). Corrected by B1 (last migration).
11	20251215025535_d8b5f197-92b4-4311-ac40-6fc76d311db7.sql	20251215025535	39d12e9908a0694e55a078e70e38b63e83c3988eb2d5b900ce12b707a0cb94a8	f0c5015b146068e7afbd1dd4c5057ed364f53d4e|gpt-engineer-app[bot]|2025-12-15	user_preferences policies.	user_preferences from #1	low
12	20260206150808_4cb276a5-a341-4b08-a939-83ac1e9b5bcc.sql	20260206150808	a100fe44048877237b50f90f78d08bb1d61eb1a0e2402d34a70ed4e30a1cbb34	867fe3d3e1e27376556dae6a7d796d30a463d656|gpt-engineer-app[bot]|2026-02-06	Broaden insert policies on activity/action/contact logs.	agent_action_logs, agent_activity_logs, contact_expert_logs from #1	low
13	20260212035209_61e2d774-6a40-4d87-9762-b503050b64ad.sql	20260212035209	59ccdc8fb7431c179b70fbd6c9bee37a2ed0fb23f301d5110907ad866af05fef	48d47eddc4636d3d1a4f53ddab54483d51d33cb1|gpt-engineer-app[bot]|2026-02-12	onboarding_submissions policies (public insert + admin read via user_roles).	onboarding_submissions and user_roles from #1	anonymous insert path; ensure rate-limit applied elsewhere
14	20260212133602_bf66e00b-576a-44ac-bed1-89ab3179b68f.sql	20260212133602	5d50ddcccdfc73e94eaa88fd4d7624a834e946aff86b1175b65c65adb3f55df8	fd025f55a9b74318477d5e400902a7cdd7525f53|gpt-engineer-app[bot]|2026-02-12	Profiles admin read/update via check_user_has_role.	profiles, check_user_has_role from #1	low
15	20260218142636_a59bb8cb-5e00-4e13-b63d-19eb97d7d4bb.sql	20260218142636	8610cb83e00586c45a402567d53045936e0f6a4ca92d7173a2cd590a7d9148d0	47af47738fdc99616f483e684183f4aae594b5f0|gpt-engineer-app[bot]|2026-02-18	Small storage / bucket / policy adjustment (see file).	storage.buckets	low
